Разработать прикладное программное обеспечение деятельности регистратуры поликлиники. Работники
регистратуры организуют запись пациентов на прием к врачам поликлиники. Так как поликлиника
ведомственная, медицинское обслуживание работников предприятия — бесплатное (за счет средств
предприятия).
"Посторонние" пациенты также могут воспользоваться услугами поликлиники, полностью оплатив затраты
на лечение. Определение стоимости лечения и выдача платежных документов для таких больных входит в
круг обязанностей работников регистратуры. 
Врач ведет прием всегда в одном кабинете. 
Приемные дни занесены в расписание работы поликлиники. 
На каждого пациента в регистратуре заводится карточка. 
В начале приема карточки больных, записавшихся на прием, доставляются работником регистратуры в кабинет
врача. 

Набор данных к варианту
№	Поле			Тип					Размер	Описание

1	DoctorID		Числовой			2		Идентификационный номер врача
2	LastName		Текстовый			20		Фамилия врача
3	FirstName		Текстовый			20		Имя врача
4	Patronymic		Текстовый			20		Отчество врача
5	Room			Числовой			3		Номер кабинета
6	University		Текстовый			40		Образование (университет)
7	Type			Текстовый			20		Специализация (терапевт, лор и т. д.)
8	Experience		Числовой			2		Стаж работы
9	Phone			Текстовый			10		Номер рабочего телефона
10	Born			Числовой			4		Год рождения
11	Picture			Поле объекта OLE	Авто	Фотография врача

12	Fio				Текстовый			60		ФИО пациента
13	Number			Текстовый			10		Номер карточки пациента
14	Address			Текстовый			80		Адрес пациента
15	District		Текстовый			20		Район города, где проживает
16	PolicyNumber	Текстовый			20		Номер страхового полиса
17	Year			Числовой			4		Год рождения пациента
18	Sign			Логический			1		Работник предприятия
19	Department		Текстовый			40		Отдел, в котором работает

20	TreatyID		Числовой			10		Идентификационный номер записи на прием
21	DateStart		Дата/время			Авто	Дата приема
22	TimeStart		Текстовый			10		Время приема
23	Cost			Денежный			15		Стоимость приема
24	ExemptID		Числовой			2		Идентификатор льготы
25	ExemptType		Текстовый			60		Название льготы (инвалид, ветеран)
26	Exempt			Денежный			15		Сумма льготы
27	Summa			Денежный			15		К оплате
28	Comment			Поле Memo			Авто	Примечания (результаты приема)

-- ! Надо проверять, есть ли такой номер полиса в системе
